movies,similar
Plunkett & MaCleane (1999),"Gun Shy (2000);Monkeybone (2001);One Night at McCool's (2001);Big Tease, The (1999);Caveman's Valentine, The (2001);Erik the Viking (1989);Buffy the Vampire Slayer (1992);Way of the Gun, The (2000);Cecil B. DeMented (2000);Still Crazy (1998)"
Romance (1999),"Lovers on the Bridge, The (Amants du Pont-Neuf, Les) (1991);School of Flesh, The (École de la chair, L') (1998);Live Flesh (Carne trémula) (1997);Dreamlife of Angels, The (Vie rêvée des anges, La) (1998);Lovers of the Arctic Circle, The (Los Amantes del Círculo Polar) (1998);Promise, The (La promesse) (1996);Mifune's Last Song (Mifunes sidste sang) (1999);Single Girl, A (Fille seule, La) (1995);Judgement in Stone, A (Cérémonie, La) (1995);Loss of Sexual Innocence, The (1999)"
Alvarez Kelly (1966),"Fighting Seabees, The (1944);Santa Fe Trail (1940);Hell in the Pacific (1968);Flying Tigers (1942);Pork Chop Hill (1959);Angel and the Badman (1947);Run Silent Run Deep (1958);Captain Horatio Hornblower R.N. (1951);Sea Wolves, The (1980);El Dorado (1966)"
And the Ship Sails On (E la nave va) (1983),"Autumn Sonata (Höstsonaten) (1978);Jules and Jim (Jules et Jim) (1961);Fanny and Alexander (Fanny och Alexander) (1982);Conformist, The (Conformista, Il) (1970);Mephisto (1981);Nights of Cabiria (Notti di Cabiria, Le) (1957);Faces (1968);Children of Paradise (Les enfants du paradis) (1945);Woman in the Dunes (Suna no onna) (1964);If.... (1968)"
"Dark Half, The (1993)","Tales from the Darkside: The Movie (1990);Gate, The (1987);Creepshow 2 (1987);Night Flier (1997);Cat's Eye (1985);Child's Play (1988);Pumpkinhead (1988);Needful Things (1993);Exorcist III, The (1990);Puppet Master (1989)"
Gulliver's Travels (1939),"Mighty Joe Young (1949);Steamboat Willie (1928);March of the Wooden Soldiers (a.k.a. Babes in Toyland) (1934);Incredible Journey, The (1963);Song of the South (1946);Kidnapped (1960);Darby O'Gill and the Little People (1959);Absent-Minded Professor, The (1961);In Search of the Castaways (1962);Doctor Dolittle (1967)"
Monkey Shines (1988),"Creepshow (1982);Dark Half, The (1993);Psycho II (1983);Exorcist III, The (1990);Cat's Eye (1985);Phantasm (1979);Piranha (1978);Halloween III: Season of the Witch (1982);Christine (1983);Gate, The (1987)"
Phantasm (1979),"Bride of Re-Animator (1990);Creepshow (1982);Piranha (1978);Phantasm II (1988);Lifeforce (1985);Pumpkinhead (1988);Fright Night (1985);Howling, The (1980);Fog, The (1980);Exorcist III, The (1990)"
Psycho II (1983),"Psycho III (1986);Halloween III: Season of the Witch (1982);Christine (1983);Dark Half, The (1993);Final Conflict, The (a.k.a. Omen III: The Final Conflict) (1981);Piranha (1978);Fog, The (1980);Nightmare on Elm Street 2: Freddy's Revenge, A (1985);Cujo (1983);Cat's Eye (1985)"
Psycho III (1986),"Psycho II (1983);Dark Half, The (1993);Nightmare on Elm Street 2: Freddy's Revenge, A (1985);Deadly Friend (1986);Trick or Treat (1986);Cat's Eye (1985);Halloween III: Season of the Witch (1982);Texas Chainsaw Massacre: The Next Generation (a.k.a. The Return of the Texas Chainsaw Massacre) (1994);Needful Things (1993);Children of the Corn (1984)"
Rain (1932),"Grand Hotel (1932);Only Angels Have Wings (1939);Algiers (1938);Othello (Tragedy of Othello: The Moor of Venice, The) (1952);Hamlet (1948);Mildred Pierce (1945);Of Human Bondage (1934);Beat the Devil (1953);Raw Deal (1948);Star Is Born, A (1937)"
Sanjuro (Tsubaki Sanjûrô) (1962),"Yojimbo (1961);Kagemusha (1980);Hidden Fortress, The (Kakushi-toride no san-akunin) (1958);Red Beard (Akahige) (1965);Throne of Blood (Kumonosu jô) (1957);Stray Dog (Nora inu) (1949);Ikiru (1952);High and Low (Tengoku to jigoku) (1963);Dersu Uzala (1975);Samurai I: Musashi Miyamoto (Miyamoto Musashi) (1954)"
Random Hearts (1999),"Story of Us, The (1999);Deep End of the Ocean, The (1999);General's Daughter, The (1999);Double Jeopardy (1999);Runaway Bride (1999);Mickey Blue Eyes (1999);Love Letter, The (1999);For Love of the Game (1999);Instinct (1999);Bachelor, The (1999)"
Superstar (1999),"Teaching Mrs. Tingle (1999);Drive Me Crazy (1999);Brokedown Palace (1999);Out-of-Towners, The (1999);She's All That (1999);Drop Dead Gorgeous (1999);Bachelor, The (1999);54 (1998);Romy and Michele's High School Reunion (1997);Detroit Rock City (1999)"
Boys Don't Cry (1999),"Gods and Monsters (1998);Get Real (1998);All About My Mother (Todo sobre mi madre) (1999);Before Night Falls (2000);My Life in Pink (Ma vie en rose) (1997);Brandon Teena Story, The (1998);Aimée & Jaguar (1999);Angela's Ashes (1999);Chuck & Buck (2000);Flawless (1999)"
"Limey, The (1999)","Sydney (Hard Eight) (1996);General, The (1998);Croupier (1998);One False Move (1992);Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr. (1999);Limbo (1999);Jesus' Son (1999);Felicia's Journey (1999);Minus Man, The (1999);Men with Guns (1997)"
"Mating Habits of the Earthbound Human, The (1999)","Evolution (2001);Short Circuit 2 (1988);New Guy, The (2002);Not Another Teen Movie (2001);Tomcats (2001);Sorority Boys (2002);Bedazzled (2000);Men at Work (1990);Dead Man on Campus (1998);Encino Man (1992)"
Molly (1999),"Beautiful (2000);Crush (2001);Banger Sisters, The (2002);Intersection (1994);Hope Springs (2003);Perfect (1985);Life or Something Like It (2002);Town & Country (2001);Marrying Man, The (Too Hot to Handle) (1991);Indian Summer (1993)"
Risky Business (1983),"Trading Places (1983);Night Shift (1982);About Last Night... (1986);Stripes (1981);Ruthless People (1986);Fast Times at Ridgemont High (1982);Big Chill, The (1983);Arthur (1981);Parenthood (1989);Meatballs (1979)"
Total Recall (1990),"Predator (1987);RoboCop (1987);Starship Troopers (1997);Running Man, The (1987);Planet of the Apes (1968);Face/Off (1997);Terminator, The (1984);Mad Max (1979);Road Warrior, The (Mad Max 2) (1981);Fifth Element, The (1997)"
Body Heat (1981),"Verdict, The (1982);Klute (1971);Great Santini, The (1979);Year of Living Dangerously, The (1982);Atlantic City (1980);Prizzi's Honor (1985);Falcon and the Snowman, The (1985);Three Days of the Condor (3 Days of the Condor) (1975);Jagged Edge (1985);Carnal Knowledge (1971)"
Ferris Bueller's Day Off (1986),"Breakfast Club, The (1985);Big (1988);Sixteen Candles (1984);Christmas Story, A (1983);Fast Times at Ridgemont High (1982);Trading Places (1983);National Lampoon's Vacation (1983);Better Off Dead... (1985);Airplane! (1980);Say Anything... (1989)"
"Year of Living Dangerously, The (1982)","Atlantic City (1980);Reds (1981);Tender Mercies (1983);Mona Lisa (1986);Trip to Bountiful, The (1985);Klute (1971);Soldier's Story, A (1984);Great Santini, The (1979);Ordinary People (1980);Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) (1975)"
Children of Paradise (Les enfants du paradis) (1945),"Nights of Cabiria (Notti di Cabiria, Le) (1957);Grand Illusion (La grande illusion) (1937);Unvanquished, The (Aparajito) (1957);Blue Angel, The (Blaue Engel, Der) (1930);Song of the Little Road (Pather Panchali) (1955);Conformist, The (Conformista, Il) (1970);Jules and Jim (Jules et Jim) (1961);Brief Encounter (1946);Woman in the Dunes (Suna no onna) (1964);Othello (Tragedy of Othello: The Moor of Venice, The) (1952)"
High Plains Drifter (1973),"Hang 'Em High (1968);Pale Rider (1985);Outlaw Josey Wales, The (1976);Jeremiah Johnson (1972);Magnum Force (1973);Fistful of Dollars, A (Per un pugno di dollari) (1964);Kelly's Heroes (1970);Thunderbolt and Lightfoot (1974);True Grit (1969);For a Few Dollars More (Per qualche dollaro in più) (1965)"
Hang 'Em High (1968),"High Plains Drifter (1973);Pale Rider (1985);Outlaw Josey Wales, The (1976);Magnum Force (1973);Jeremiah Johnson (1972);Kelly's Heroes (1970);True Grit (1969);Fistful of Dollars, A (Per un pugno di dollari) (1964);Thunderbolt and Lightfoot (1974);Dirty Dozen, The (1967)"
Handle with Care (a.k.a. Citizen's Band) (1977),"Melvin and Howard (1980);Nashville (1975);Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) (1975);Seven Beauties (Pasqualino Settebellezze) (1976);Atlantic City (1980);Ruling Class, The (1972);Mona Lisa (1986);Tom Jones (1963);Stardust Memories (1980);Beat the Devil (1953)"
Drunken Master (Jui kuen) (1978),"Legend of Drunken Master, The (Jui kuen II) (1994);Iron Monkey (Siu nin Wong Fei-hung ji: Tit Ma Lau) (1993);Fist of Fury (Chinese Connection, The) (Jing wu men) (1972);Young Master, The (Shi di chu ma) (1980);Once Upon a Time in China II (Wong Fei-hung Ji Yi: Naam yi dong ji keung) (1992);Big Boss, The (Fists of Fury) (Tang shan da xiong) (1971);Hard-Boiled (Lat sau san taam) (1992);Armour of God (Long xiong hu di) (1987);Six-String Samurai (1998);Once Upon a Time in China (Wong Fei Hung) (1991)"
"Conformist, The (Conformista, Il) (1970)","Nights of Cabiria (Notti di Cabiria, Le) (1957);Jules and Jim (Jules et Jim) (1961);Woman in the Dunes (Suna no onna) (1964);Days of Heaven (1978);Faces (1968);Children of Paradise (Les enfants du paradis) (1945);400 Blows, The (Les quatre cents coups) (1959);2 ou 3 choses que je sais d'elle (2 or 3 Things I Know About Her) (1967);Contempt (Mépris, Le) (1963);Song of the Little Road (Pather Panchali) (1955)"
Hairspray (1988),"Pink Flamingos (1972);Mommie Dearest (1981);Married to the Mob (1988);Madonna: Truth or Dare (1991);Sid and Nancy (1986);Desperately Seeking Susan (1985);She's Gotta Have It (1986);Incredibly True Adventure of Two Girls in Love, The (1995);Paris Is Burning (1990);Crimes of the Heart (1986)"
Brief Encounter (1946),"Only Angels Have Wings (1939);Children of Paradise (Les enfants du paradis) (1945);Mildred Pierce (1945);I Know Where I'm Going! (1945);Face in the Crowd, A (1957);Gilda (1946);Grand Hotel (1932);Crossfire (1947);Trouble in Paradise (1932);Limelight (1952)"
"Razor's Edge, The (1984)","My Bodyguard (1980);Falcon and the Snowman, The (1985);Soldier's Story, A (1984);Tex (1982);Betrayed (1988);Country (1984);Quest for Fire (Guerre du feu, La) (1981);Pope of Greenwich Village, The (1984);Emerald Forest, The (1985);River, The (1984)"
Reds (1981),"Desert Bloom (1986);Soldier's Story, A (1984);Melvin and Howard (1980);Tender Mercies (1983);Year of Living Dangerously, The (1982);Frances (1982);Carnal Knowledge (1971);Atlantic City (1980);Trip to Bountiful, The (1985);Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) (1975)"
Time of the Gypsies (Dom za vesanje) (1989),"Underground (1995);Europa (Zentropa) (1991);Idiots, The (Idioterne) (1998);Short Film About Killing, A (Krótki film o zabijaniu) (1988);Stalker (1979);Return, The (Vozvrashcheniye) (2003);Celebration, The (Festen) (1998);Short Film About Love, A (Krótki film o milosci) (1988);Eternity and a Day (Mia aoniotita kai mia mera) (1998);Black Cat, White Cat (Crna macka, beli macor) (1998)"
Days of Heaven (1978),"Conformist, The (Conformista, Il) (1970);McCabe & Mrs. Miller (1971);Fitzcarraldo (1982);Long Goodbye, The (1973);Jules and Jim (Jules et Jim) (1961);Nashville (1975);If.... (1968);Badlands (1973);Fanny and Alexander (Fanny och Alexander) (1982);Picnic at Hanging Rock (1975)"
"Fire Within, The (Feu follet, Le) (1963)","Night, The (Notte, La) (1960);Fellini's Roma (Roma) (1972);Mamma Roma (1962);Cleo from 5 to 7 (Cléo de 5 à 7) (1962);Faces (1968);My Night At Maud's (Ma Nuit Chez Maud) (1969);Autumn Sonata (Höstsonaten) (1978);Diary of a Chambermaid (Journal d'une femme de chambre, Le) (1964);Saragossa Manuscript, The (Rekopis znaleziony w Saragossie) (1965);Marriage of Maria Braun, The (Ehe der Maria Braun, Die) (1979)"
"Lady Eve, The (1941)","Palm Beach Story, The (1942);Sullivan's Travels (1941);Ninotchka (1939);To Be or Not to Be (1942);Lady Vanishes, The (1938);Gilda (1946);Shop Around the Corner, The (1940);His Girl Friday (1940);My Man Godfrey (1936);Brief Encounter (1946)"
Sullivan's Travels (1941),"Palm Beach Story, The (1942);Lady Eve, The (1941);To Be or Not to Be (1942);Only Angels Have Wings (1939);Ninotchka (1939);Go West (1925);Gilda (1946);Crossfire (1947);Force of Evil (1948);Lady Vanishes, The (1938)"
"Palm Beach Story, The (1942)","Lady Eve, The (1941);Sullivan's Travels (1941);Ninotchka (1939);To Be or Not to Be (1942);My Man Godfrey (1936);Only Angels Have Wings (1939);Gilda (1946);Lady Vanishes, The (1938);Shop Around the Corner, The (1940);Foreign Correspondent (1940)"
Man Facing Southeast (Hombre mirando al sudeste) (1986),"Mephisto (1981);Matewan (1987);Red Sorghum (Hong gao liang) (1987);Walkabout (1971);Prick Up Your Ears (1987);Picnic at Hanging Rock (1975);Mona Lisa (1986);Night Porter, The (Portiere di notte, Il) (1974);Desert Bloom (1986);Reds (1981)"
Niagara (1953),"Bad Seed, The (1956);Family Plot (1976);Torn Curtain (1966);Of Human Bondage (1934);Star Is Born, A (1937);Secret Agent (1936);Marnie (1964);Topaz (1969);Gentleman's Agreement (1947);Angel on My Shoulder (1946)"
Gilda (1946),"Murder, My Sweet (1944);Force of Evil (1948);Lady Vanishes, The (1938);Wrong Man, The (1956);Lady Eve, The (1941);Out of the Past (1947);Shadow of a Doubt (1943);Crossfire (1947);Palm Beach Story, The (1942);Mildred Pierce (1945)"
South Pacific (1958),"King and I, The (1956);Holiday Inn (1942);Oliver! (1968);Gypsy (1962);Gigi (1958);American in Paris, An (1951);Guys and Dolls (1955);White Christmas (1954);Meet Me in St. Louis (1944);West Side Story (1961)"
Flashdance (1983),"St. Elmo's Fire (1985);Working Girl (1988);Peggy Sue Got Married (1986);Footloose (1984);About Last Night... (1986);Against All Odds (1984);Officer and a Gentleman, An (1982);Blame It on Rio (1984);River, The (1984);Prince of Tides, The (1991)"
Indochine (1992),"Tango (1998);Tango Lesson, The (1997);Xiu Xiu: The Sent-Down Girl (Tian yu) (1998);Mrs. Dalloway (1997);Wings of the Dove, The (1997);Oscar and Lucinda (a.k.a. Oscar & Lucinda) (1997);Artemisia (1997);Hilary and Jackie (1998);Howards End (1992);Horseman on the Roof, The (Hussard sur le toit, Le) (1995)"
"Dirty Dozen, The (1967)","Longest Day, The (1962);Guns of Navarone, The (1961);Kelly's Heroes (1970);Tora! Tora! Tora! (1970);Hang 'Em High (1968);High Plains Drifter (1973);Force 10 from Navarone (1978);Fistful of Dollars, A (Per un pugno di dollari) (1964);Outlaw Josey Wales, The (1976);Bridge at Remagen, The (1969)"
Mike's Murder (1984),"Morning After, The (1986);52 Pick-Up (1986);Someone to Watch Over Me (1987);Extremities (1986);Bedroom Window, The (1987);Coma (1978);Two Jakes, The (1990);Tex (1982);Falcon and the Snowman, The (1985);Jagged Edge (1985)"
Help! (1965),"Hard Day's Night, A (1964);Yellow Submarine (1968);Tommy (1975);How I Won the War (1967);Twelve Chairs, The (1970);Producers, The (1968);Tom Jones (1963);March of the Wooden Soldiers (a.k.a. Babes in Toyland) (1934);All That Jazz (1979);Irma la Douce (1963)"
Goldfinger (1964),"Dr. No (1962);From Russia with Love (1963);Thunderball (1965);Live and Let Die (1973);Diamonds Are Forever (1971);Spy Who Loved Me, The (1977);Man with the Golden Gun, The (1974);On Her Majesty's Secret Service (1969);For Your Eyes Only (1981);Licence to Kill (1989)"
From Russia with Love (1963),"Dr. No (1962);Goldfinger (1964);Thunderball (1965);Live and Let Die (1973);Diamonds Are Forever (1971);On Her Majesty's Secret Service (1969);Spy Who Loved Me, The (1977);Man with the Golden Gun, The (1974);For Your Eyes Only (1981);Licence to Kill (1989)"
Dr. No (1962),"From Russia with Love (1963);Thunderball (1965);Goldfinger (1964);Live and Let Die (1973);Diamonds Are Forever (1971);On Her Majesty's Secret Service (1969);Spy Who Loved Me, The (1977);Man with the Golden Gun, The (1974);For Your Eyes Only (1981);Licence to Kill (1989)"
"Blue Lagoon, The (1980)","Santa Claus: The Movie (1985);Money Pit, The (1986);Footloose (1984);Bodyguard, The (1992);Date with an Angel (1987);Poison Ivy (1992);Practical Magic (1998);Mannequin (1987);Medicine Man (1992);St. Elmo's Fire (1985)"
"Fistful of Dollars, A (Per un pugno di dollari) (1964)","For a Few Dollars More (Per qualche dollaro in più) (1965);Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966);High Plains Drifter (1973);Hang 'Em High (1968);Once Upon a Time in the West (C'era una volta il West) (1968);Pale Rider (1985);Dirty Dozen, The (1967);Outlaw Josey Wales, The (1976);Magnificent Seven, The (1960);Dirty Harry (1971)"
Sydney (Hard Eight) (1996),"Limey, The (1999);General, The (1998);One False Move (1992);Hurlyburly (1998);In the Company of Men (1997);Filth and the Fury, The (2000);Jesus' Son (1999);Your Friends and Neighbors (1998);Simple Plan, A (1998);Hype! (1996)"
Home Alone 2: Lost in New York (1992),"Home Alone 3 (1997);3 Ninjas (1992);Beethoven (1992);D2: The Mighty Ducks (1994);Beethoven's 2nd (1993);Dennis the Menace (1993);Mighty Ducks, The (1992);Blank Check (1994);Mr. Magoo (1997);Problem Child (1990)"
Someone to Watch Over Me (1987),"52 Pick-Up (1986);Jagged Edge (1985);Bedroom Window, The (1987);Morning After, The (1986);Tequila Sunrise (1988);No Mercy (1986);Against All Odds (1984);Betrayed (1988);Extremities (1986);Coma (1978)"
Fight Club (1999),"American History X (1998);Memento (2000);Donnie Darko (2001);Eternal Sunshine of the Spotless Mind (2004);Snatch (2000);Dark Knight, The (2008);Matrix, The (1999);American Beauty (1999);Office Space (1999);Requiem for a Dream (2000)"
"Story of Us, The (1999)","Random Hearts (1999);Deep End of the Ocean, The (1999);For Love of the Game (1999);Brokedown Palace (1999);Mickey Blue Eyes (1999);Bachelor, The (1999);Next Best Thing, The (2000);Out-of-Towners, The (1999);Runaway Bride (1999);General's Daughter, The (1999)"
Fever Pitch (1997),"Green Card (1990);Jet Lag (Décalage horaire) (2002);Shooting Fish (1997);Valmont (1989);About Adam (2000);Blow Dry (a.k.a. Never Better) (2001);Very Thought of You, The (1998);Better Than Sex (2000);Woman in Red, The (1984);Couch in New York, A (1996)"
Joe the King (1999),"Hi-Lo Country, The (1998);Liberty Heights (1999);Black and White (1999);B. Monkey (1998);Ride with the Devil (1999);Yards, The (2000);Joe Gould's Secret (2000);Map of the World, A (1999);Whatever (1998);Holy Smoke (1999)"
Julien Donkey-Boy (1999),George Washington (2000);Schizopolis (1996);Stranger Than Paradise (1984);Gerry (2002);Ratcatcher (1999);Morvern Callar (2002);My Best Fiend (Mein liebster Feind) (1999);Fat Girl (À ma soeur!) (2001);Storytelling (2001);Slacker (1991)
"Omega Code, The (1999)","Mercury Rising (1998);Left Behind: The Movie (2000);U.S. Marshals (1998);Chill Factor (1999);Man in the Iron Mask, The (1998);Avengers, The (1998);Aces: Iron Eagle III (1992);Superman IV: The Quest for Peace (1987);Forever Young (1992);My Favorite Martian (1999)"
"Straight Story, The (1999)","Sweet and Lowdown (1999);War Zone, The (1999);Mifune's Last Song (Mifunes sidste sang) (1999);Limbo (1999);Wonderland (1999);Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr. (1999);My Name Is Joe (1998);Sweet Hereafter, The (1997);Celebration, The (Festen) (1998);After Life (Wandafuru raifu) (1998)"
"Bad Seed, The (1956)","Niagara (1953);What Ever Happened to Baby Jane? (1962);Family Plot (1976);Suddenly, Last Summer (1959);Torn Curtain (1966);Lifeboat (1944);Of Human Bondage (1934);Star Is Born, A (1937);Greatest Show on Earth, The (1952);Angel on My Shoulder (1946)"
Time Bandits (1981),"Adventures of Buckaroo Banzai Across the 8th Dimension, The (1984);Repo Man (1984);Navigator: A Mediaeval Odyssey, The (1988);Dune (1984);Excalibur (1981);Logan's Run (1976);Dark Crystal, The (1982);Tron (1982);1984 (Nineteen Eighty-Four) (1984);Adventures of Baron Munchausen, The (1988)"
"Man and a Woman, A (Un homme et une femme) (1966)","They Shoot Horses, Don't They? (1969);Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) (1975);Tom Jones (1963);Splendor in the Grass (1961);Marty (1955);Garden of the Finzi-Continis, The (Giardino dei Finzi-Contini, Il) (1970);Hamlet (1964);Effect of Gamma Rays on Man-in-the-Moon Marigolds, The (1972);Seven Beauties (Pasqualino Settebellezze) (1976);Two Women (Ciociara, La) (1960)"
Fitzcarraldo (1982),"If.... (1968);Days of Heaven (1978);Woman in the Dunes (Suna no onna) (1964);Conformist, The (Conformista, Il) (1970);Draughtsman's Contract, The (1982);My Best Fiend (Mein liebster Feind) (1999);Trial, The (Procès, Le) (1962);Blow-Up (Blowup) (1966);Long Goodbye, The (1973);Dersu Uzala (1975)"
All That Jazz (1979),"Cabaret (1972);Shampoo (1975);They Shoot Horses, Don't They? (1969);Atlantic City (1980);Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) (1975);Klute (1971);Carnal Knowledge (1971);Tom Jones (1963);Reds (1981);Nashville (1975)"
Red Sorghum (Hong gao liang) (1987),"Mephisto (1981);Bandit Queen (1994);Ballad of Narayama, The (Narayama bushiko) (1983);Walkabout (1971);Gabbeh (1996);Promise, The (La promesse) (1996);Fanny and Alexander (Fanny och Alexander) (1982);Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993);Picnic at Hanging Rock (1975);White Balloon, The (Badkonake sefid) (1995)"
Crimes and Misdemeanors (1989),"Purple Rose of Cairo, The (1985);Radio Days (1987);Manhattan (1979);Take the Money and Run (1969);Stardust Memories (1980);Love and Death (1975);Stop Making Sense (1984);Player, The (1992);Nashville (1975);Bananas (1971)"
Bats (1999),Curse of the Puppet Master (Puppet Master 6: The Curse) (1998);Amityville: A New Generation (1993);Puppet Master 5: The Final Chapter (1994);Child's Play 2 (1990);Puppet Master 4 (1993);Phantoms (1998);Puppet Master II (1991);Child's Play 3 (1991);Pet Sematary II (1992);Wishmaster (1997)
"Best Man, The (1999)","Anywhere But Here (1999);Deep End of the Ocean, The (1999);Wood, The (1999);Story of Us, The (1999);Brokedown Palace (1999);Civil Action, A (1998);Mighty, The (1998);For Love of the Game (1999);Pushing Tin (1999);Best Laid Plans (1999)"
Bringing Out the Dead (1999),"Summer of Sam (1999);Man on the Moon (1999);Hurlyburly (1998);Ravenous (1999);Happiness (1998);eXistenZ (1999);Another Day in Paradise (1998);Minus Man, The (1999);Permanent Midnight (1998);Sydney (Hard Eight) (1996)"
Crazy in Alabama (1999),"Eight Days a Week (1997);Drowning Mona (2000);Polish Wedding (1998);Indian Summer (1993);Passion of Mind (2000);Prelude to a Kiss (1992);Better Than Chocolate (1999);Flawless (1999);Where the Money Is (2000);Mystery, Alaska (1999)"
Three to Tango (1999),"Down to You (2000);Boys and Girls (2000);Whatever It Takes (2000);Forces of Nature (1999);Loser (2000);Head Over Heels (2001);Bachelor, The (1999);Love Potion #9 (1992);Kissing a Fool (1998);Fools Rush In (1997)"
Body Shots (1999),"54 (1998);Brokedown Palace (1999);Wood, The (1999);Messenger: The Story of Joan of Arc, The (1999);Instinct (1999);Best Man, The (1999);Best Laid Plans (1999);Superstar (1999);Stigmata (1999);Eye of the Beholder (1999)"
"Guardian, The (1990)","Needful Things (1993);Body Parts (1991);Dark Half, The (1993);Christine (1983);Gate, The (1987);Monkey Shines (1988);Tales from the Darkside: The Movie (1990);Rawhead Rex (1986);Night Flier (1997);Sleepwalkers (1992)"
"Ipcress File, The (1965)","Odessa File, The (1974);On the Beach (1959);Seven Days in May (1964);Big Country, The (1958);Lonely Are the Brave (1962);Hell in the Pacific (1968);Coogan's Bluff (1968);Torn Curtain (1966);Crimson Pirate, The (1952);Moby Dick (1956)"
On Any Sunday (1971),"Coogan's Bluff (1968);Life and Times of Judge Roy Bean, The (1972);Fort Apache, the Bronx (1981);Our Man Flint (1965);In Like Flint (1967);Odessa File, The (1974);Goin' South (1978);Ipcress File, The (1965);Moby Dick (1956);Von Ryan's Express (1965)"
RoboCop (1987),"Road Warrior, The (Mad Max 2) (1981);Predator (1987);Escape from New York (1981);Superman II (1980);Mad Max (1979);Total Recall (1990);Fly, The (1986);Conan the Barbarian (1982);Running Man, The (1987);Superman (1978)"
RoboCop 2 (1990),Universal Soldier (1992);Predator 2 (1990);Spawn (1997);Soldier (1998);Freejack (1992);Superman III (1983);Godzilla (1998);Virus (1999);Species II (1998);Lost in Space (1998)
Who Framed Roger Rabbit? (1988),"Beetlejuice (1988);Ghostbusters (a.k.a. Ghost Busters) (1984);Bug's Life, A (1998);South Park: Bigger, Longer and Uncut (1999);Fantasia 2000 (1999);Big (1988);Muppets From Space (1999);Return to Oz (1985);Galaxy Quest (1999);NeverEnding Story, The (1984)"
Melvin and Howard (1980),"Carnal Knowledge (1971);Atlantic City (1980);Desert Bloom (1986);Reds (1981);Mona Lisa (1986);Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) (1975);Shampoo (1975);They Shoot Horses, Don't They? (1969);King of Marvin Gardens, The (1972);Bound for Glory (1976)"
For Your Eyes Only (1981),"Licence to Kill (1989);Live and Let Die (1973);View to a Kill, A (1985);Spy Who Loved Me, The (1977);Man with the Golden Gun, The (1974);Thunderball (1965);On Her Majesty's Secret Service (1969);Living Daylights, The (1987);Diamonds Are Forever (1971);Moonraker (1979)"
Licence to Kill (1989),"View to a Kill, A (1985);For Your Eyes Only (1981);Living Daylights, The (1987);Man with the Golden Gun, The (1974);Live and Let Die (1973);Spy Who Loved Me, The (1977);Moonraker (1979);On Her Majesty's Secret Service (1969);Diamonds Are Forever (1971);Thunderball (1965)"
Live and Let Die (1973),"Thunderball (1965);For Your Eyes Only (1981);Man with the Golden Gun, The (1974);Spy Who Loved Me, The (1977);Diamonds Are Forever (1971);Licence to Kill (1989);On Her Majesty's Secret Service (1969);Dr. No (1962);From Russia with Love (1963);View to a Kill, A (1985)"
Rawhead Rex (1986),"Gate, The (1987);Hell Night (1981);Swamp Thing (1982);House (1986);Exorcist III, The (1990);Funhouse, The (1981);Night Flier (1997);Piranha (1978);Halloween III: Season of the Witch (1982);Dark Half, The (1993)"
Thunderball (1965),"Dr. No (1962);Live and Let Die (1973);From Russia with Love (1963);Man with the Golden Gun, The (1974);On Her Majesty's Secret Service (1969);Spy Who Loved Me, The (1977);Goldfinger (1964);Diamonds Are Forever (1971);For Your Eyes Only (1981);Licence to Kill (1989)"
House on Haunted Hill (1999),"Haunting, The (1999);Faculty, The (1998);Lake Placid (1999);Wishmaster (1997);Idle Hands (1999);Rage: Carrie 2, The (1999);Urban Legend (1998);Scream 3 (2000);Lost Souls (2000);Pet Sematary II (1992)"
Music of the Heart (1999),"Long Walk Home, The (1990);Not Without My Daughter (1991);Music From Another Room (1998);One True Thing (1998);Stanley & Iris (1990);Mighty, The (1998);Third Miracle, The (1999);Simon Birch (1998);Horse Whisperer, The (1998);This Is My Father (1998)"
Being John Malkovich (1999),"Magnolia (1999);Election (1999);Rushmore (1998);American Beauty (1999);Man on the Moon (1999);High Fidelity (2000);Adaptation (2002);Run Lola Run (Lola rennt) (1998);Talented Mr. Ripley, The (1999);Big Lebowski, The (1998)"
Princess Mononoke (Mononoke-hime) (1997),Laputa: Castle in the Sky (Tenkû no shiro Rapyuta) (1986);Nausicaä of the Valley of the Wind (Kaze no tani no Naushika) (1984);My Neighbor Totoro (Tonari no Totoro) (1988);Grave of the Fireflies (Hotaru no haka) (1988);Spirited Away (Sen to Chihiro no kamikakushi) (2001);Lupin III: The Castle Of Cagliostro (Rupan sansei: Kariosutoro no shiro) (1979);Perfect Blue (1997);Porco Rosso (Crimson Pig) (Kurenai no buta) (1992);Cowboy Bebop: The Movie (Cowboy Bebop: Tengoku no Tobira) (2001);Howl's Moving Castle (Hauru no ugoku shiro) (2004)
